country_code,year,access_to_electricity_pct,agriculture_pct_gdp,external_debt_private_nonguaranteed_usd,external_debt_public_publicly_guaranteed_usd,external_debt_stock_total_usd,gdp_per_capita_usd,gni_per_capita_atlas_usd,industry_pct_gdp,internet_users_pct,life_expectancy_years,manufacturing_pct_gdp,population,services_pct_gdp,urban_population_pct
DJI,2019,64.7,1.51935229833123,,2145538062.8,2552579803.4,2837.16902340932,2780.0,14.6103467336685,58.4762001,64.381,3.70296002372685,1088709.0,76.9845361801201,71.7418146554518
DJI,2020,64.5,1.99744473588682,221342000.0,2353516908.8,2900369858.3,2844.88810647853,2780.0,14.5456933567204,59.92570114,64.2,4.48288266022238,1105188.0,77.268147602583,71.9990170519895
DJI,2021,65.4,3.00716226184265,20500000.0,2406568216.5,3206547225.4,3025.91126413549,2990.0,15.4059788148715,61.41120148,63.83,5.21745786343541,1121248.0,75.1140795195897,72.2882954556515
DJI,2022,65.0,2.63101792247644,30014000.0,2409101288.5,3170133063.9,3133.25779772463,3310.0,15.0308727802738,63.77600098,65.54,5.02666091887994,1137096.0,76.3885243704718,72.6109938538856
DJI,2023,65.2,2.50202235262172,10000000.0,2836502659.1,3428806710.3,3381.29779710722,3500.0,14.432376023443,64.75869751,65.987,4.70200377488926,1152944.0,77.1152748633996,72.8408245988921
DJI,2024,69.2,2.5119476858486,10000000.0,2827914989.5,3457016382.4,3552.72335079222,3640.0,15.913892950777,65.29889679,66.202,5.28432022949322,1168722.0,76.0847593876274,72.9052635052978
DJI,2025,,2.27199545061851,,,,3905.604954681,3960.0,16.5818071012259,,,,1184076.0,75.6567306363114,72.9758660686475
DZA,2010,98.9,7.53171561491377,967500000.0,2662058549.0,7253019348.3,4912.78585503672,4870.0,45.2431946364671,12.5,74.144,9.3708250521221,36188236.0,43.6024032576579,67.1235057867459
DZA,2011,99.0,7.08352512171367,817970000.0,2255421235.8,6054554674.7,5916.31364364343,5050.0,44.9869856015855,14.89999962,74.383,9.73343874629741,36903376.0,44.6513051761826,67.7344007507578
DZA,2012,98.8,8.02697167412095,821930000.0,1648494864.4,5516939176.2,6033.64884689543,5630.0,43.1950549091774,18.20000076,74.609,8.5589556099004,37646166.0,44.9114940485958,68.3421258553675
DZA,2013,99.2,9.12007464194984,620490000.0,1453345460.4,5247039317.8,5979.60138960585,5970.0,39.7438543670176,22.5,74.809,8.02018645677549,38414171.0,46.7933663667477,68.9463836079277
DZA,2014,99.3,9.40707440856373,685380000.0,1124989848.9,5521236298.5,6094.69392314956,6030.0,38.5614138325673,29.5,74.992,9.87797970942307,39205031.0,47.9036022305248,69.5468765157615
DZA,2015,99.4,10.5327896965018,317760000.0,870237199.5,4671438792.0,4685.05902729002,5390.0,32.7565009315894,38.20000076,75.159,7.11001759889613,40019529.0,52.1103711658838,70.1433070861612
DZA,2016,99.4,11.0683130545794,213640000.0,1652733703.2,5463041852.5,4424.98529027556,4920.0,32.205164049828,42.94549942,75.31,6.89853876611083,40850721.0,52.3939905220294,70.7353778263851
DZA,2017,99.5,11.0318809304784,188230000.0,1715902945.2,5706819221.4,4554.66753957828,4440.0,33.4766949498416,47.69110107,75.431,7.33456829401543,41689299.0,51.2221393515536,71.3227912436551
DZA,2018,99.6,11.2438301354995,202030000.0,1522846832.2,5710492428.3,4577.21029180491,4450.0,35.3432586054084,49.0384680793271,75.555,7.07738040001596,42505035.0,49.4261444653673,71.905249845153
