reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
IND,X,2025,152,,1212153748.528
IND,X,2025,156,,18085971449.002
IND,X,2025,170,,1739608643.188
IND,X,2025,174,,43620412.015
IND,X,2025,178,,201066034.695
IND,X,2025,180,,618042483.511
IND,X,2025,184,,199638.354
IND,X,2025,188,,244637581.292
IND,X,2025,191,,332559310.074
IND,X,2025,192,,19344146.783
IND,X,2025,196,,91379932.731
IND,X,2025,203,,1133619833.303
IND,X,2025,204,,973098289.227
IND,X,2025,208,,967838711.895
IND,X,2025,212,,10663039.764
IND,X,2025,214,,409336288.711
IND,X,2025,218,,414758744.704
IND,X,2025,222,,169827289.971
IND,X,2025,226,,21589095.095
IND,X,2025,231,ETH,470601818.157
IND,X,2025,232,ERI,26049872.404
IND,X,2025,233,,97661427.147
IND,X,2025,234,,5691480.27
IND,X,2025,238,,3833.152
IND,X,2025,242,,93376391.463
IND,X,2025,246,,510670167.179
IND,X,2025,251,,7294000791.568
IND,X,2025,258,,13583322.597
IND,X,2025,262,DJI,818287332.357
IND,X,2025,266,,89177869.911
IND,X,2025,268,,279439791.072
IND,X,2025,270,,116557955.386
IND,X,2025,276,,11252588219.045
IND,X,2025,288,,1300703807.032
IND,X,2025,292,,27436342.422
IND,X,2025,296,,1642098.317
IND,X,2025,300,,1100352895.953
IND,X,2025,304,,241793.368
IND,X,2025,308,,5957623.113
IND,X,2025,316,,1211636.488
IND,X,2025,320,,666604533.357
IND,X,2025,324,,983119124.597
IND,X,2025,328,,117774565.986
IND,X,2025,332,,114342541.366
IND,X,2025,336,,67610.9
IND,X,2025,340,,260309316.235
IND,X,2025,344,,7213398436.487
IND,X,2025,348,,548028463.364
IND,X,2025,352,,121154520.804
IND,X,2025,360,,4334007039.34
IND,X,2025,364,IRN,1206796391.862
IND,X,2025,368,IRQ,3342781293.526
IND,X,2025,372,,861647928.525
IND,X,2025,376,ISR,2281779007.554
IND,X,2025,380,,7487664342.021
IND,X,2025,384,,935371448.544
IND,X,2025,388,,110470866.356
IND,X,2025,392,,6120256370.443
IND,X,2025,398,,197157400.725
IND,X,2025,400,JOR,1017061245.227
IND,X,2025,404,,3719125507.293
IND,X,2025,408,,4398065.591
IND,X,2025,410,,6013535441.327
IND,X,2025,414,KWT,1904344777.617
IND,X,2025,417,,49829916.54
IND,X,2025,418,,23393253.265
IND,X,2025,422,LBN,383596454.396
IND,X,2025,426,,8369071.575
IND,X,2025,428,,252139680.235
IND,X,2025,430,,374369671.963
IND,X,2025,434,LBY,672929508.154
IND,X,2025,440,,240998385.65
IND,X,2025,442,,29555467.467
IND,X,2025,446,,1516930.162
IND,X,2025,450,,293658803.885
IND,X,2025,454,,80324320.638
IND,X,2025,458,,6338557944.125
IND,X,2025,462,MDV,473268088.207
